Neighborhood,Sector #,Population (2010),Land Area (acres),Landslide Prone (% land area),Undermined (% land area),Flood Plain (% land area),# Street Trees,Park Space (acres),Park Space (% of land area),Park Space (acres/1000 pers.),Greenway (% of land area),Woodland (% of land area),Cemetery (% of land area)
Allegheny Center,3,933,134.400000000000005684341886080801486968994140625,0,0,0.00163690476190500003479677548767767802928574383258819580078125,22,55.26400000000000289901436190120875835418701171875,0.41119047619047599528840919447247870266437530517578125,59.23258306538050277367801754735410213470458984375,0,0,0
Allegheny West,3,462,90.2399999999999948840923025272786617279052734375,0.09327349290780100055098245093176956288516521453857421875,0,0.023105053191488998665104048768625943921506404876708984375,229,7.1820000000000003836930773104541003704071044921875,0.07958776595744700144141603459502221085131168365478515625,15.545454545454500561163513339124619960784912109375,0,0.0423537234042550003731975039045209996402263641357421875,0
Allentown,6,2500,188.80000000000001136868377216160297393798828125,0.27091101694915298292443139871465973556041717529296875,0.90352754237288201988320679447497241199016571044921875,0,87,39.38499999999999801048033987171947956085205078125,0.208606991525424001476807234212174080312252044677734375,15.7539999999999995594635038287378847599029541015625,0,0.12309322033898299764143047241304884664714336395263671875,0
Arlington,7,1869,300.80000000000001136868377216160297393798828125,0.414182180851064007942596845168736763298511505126953125,0.57254321808510599822739095543511211872100830078125,0.0151695478723400008214117207216986571438610553741455078125,79,6.7469999999999998863131622783839702606201171875,0.0224301861702130012066191966368933208286762237548828125,3.609951845906900214089318978949449956417083740234375,0,0.294288563829787019887618271241080947220325469970703125,0.0730751329787230063939063029465614818036556243896484375
Arlington Heights,7,244,84.4800000000000039790393202565610408782958984375,0.398934659090909027323590407831943593919277191162109375,0.61195549242424196467737829152611084282398223876953125,0,3,0,0,0,0,0.41796875,0
Banksville,5,4144,620.1599999999999681676854379475116729736328125,0.06349651702786400508937703079936909489333629608154296875,0.90254450464396296371916150746983475983142852783203125,0,506,17.053999999999998493649400188587605953216552734375,0.02749935500516000053128351510167703963816165924072265625,4.11534749034748958962381948367692530155181884765625,0,0.181875644994839991142043800209648907184600830078125,0
Bedford Dwellings,15,1202,114.56000000000000227373675443232059478759765625,0.335946229050278988292888016076176427304744720458984375,0.69347939944134096013073076392174698412418365478515625,0,45,8.7479999999999993320898283855058252811431884765625,0.0763617318435750036531572959574987180531024932861328125,7.27787021630615971190536583890207111835479736328125,0,0.234008379888268003288231966507737524807453155517578125,0
Beechview,5,7974,934.3999999999999772626324556767940521240234375,0.1913955479452059960099319368964643217623233795166015625,0.7671190068493149993855695356614887714385986328125,0.000840111301369999966849599903895295938127674162387847900390625,512,19.969999999999998863131622783839702606201171875,0.0213720034246580002645909956981995492242276668548583984375,2.504389265111610196612446088693104684352874755859375,0.1311106228595889933163931573290028609335422515869140625,0.2111226455479449926055934838586836121976375579833984375,0.007081549657533999821146242226177491829730570316314697265625
Beltzhoover,6,1925,269.43999999999999772626324556767940521240234375,0.17936089667458399166122262613498605787754058837890625,0.77019002375296896634182530760881491005420684814453125,0.011416270783847999592541810898183030076324939727783203125,200,55.03699999999999903366187936626374721527099609375,0.204264400237530008297426320496015250682830810546875,28.5906493506494001621831557713449001312255859375,0,0.1250816508313540020846943434662534855306148529052734375,0
Bloomfield,12,8442,449.279999999999972715158946812152862548828125,0.0807536502849000026316161893191747367382049560546875,0,0,1035,4.74899999999999966604491419275291264057159423828125,0.01057024572649599945817211477105956873856484889984130859375,0.56254442075337596218531643899041227996349334716796875,0,0.004665242165241999770797232116592567763291299343109130859375,0
Bluff,15,6600,209.280000000000001136868377216160297393798828125,0.12334193425076500627568520940258167684078216552734375,0,0.07151662844036700550365281969789066351950168609619140625,141,0.08200000000000000344169137633798527531325817108154296875,0.0003918195718650000262082977453559351488365791738033294677734375,0.01242424242424199944123675010132501483894884586334228515625,0,0,0
Bon Air,6,808,200.31999999999999317878973670303821563720703125,0.38191892971245999799378978423192165791988372802734375,0.50770267571884997170883480066549964249134063720703125,0.057108626198082997060812004974650335498154163360595703125,56,26.589999999999999857891452847979962825775146484375,0.132737619808307005797587407869286835193634033203125,32.908415841584201189107261598110198974609375,0,0.34903654153354601863412653983687050640583038330078125,0
Brighton Heights,2,7247,714.8799999999999954525264911353588104248046875,0.3226275738585500096888836196740157902240753173828125,0,0.025816920322291998790564804266978171654045581817626953125,729,33.24499999999999744204615126363933086395263671875,0.04650430841539800186357211941867717541754245758056640625,4.5874154822685202503862456069327890872955322265625,0.010384484109220999681344466125665348954498767852783203125,0.126653424350940013720645538342068903148174285888671875,0
Brookline,5,13214,1332.48000000000001818989403545856475830078125,0.034917597262248002698559190548621700145304203033447265625,0.87686494356388100523957973564392887055873870849609375,0.00451488952929899982347006215377405169419944286346435546875,813,60.8419999999999987494447850622236728668212890625,0.045660722862632001362026556989803793840110301971435546875,4.6043590131678495680489504593424499034881591796875,0,0.173688160422670989646576344966888427734375,0
California-Kirkbride,3,761,138.8799999999999954525264911353588104248046875,0.1963421658986179985095787969839875586330890655517578125,0,0,116,0.137000000000000010658141036401502788066864013671875,0.000986463133641000099183226978993843658827245235443115234375,0.180026281208935989841535274535999633371829986572265625,0,0.03937932027649800048596517854093690402805805206298828125,0.14969038018433200587509190881974063813686370849609375
