Neighborhood,Sector #,Population (2010),Land Area (acres),Landslide Prone (% land area),Undermined (% land area),Flood Plain (% land area),# Street Trees,Park Space (acres),Park Space (% of land area),Park Space (acres/1000 pers.),Greenway (% of land area),Woodland (% of land area),Cemetery (% of land area)
Carrick,5,10113,1070.720000000000027284841053187847137451171875,0.0675489390316799942493020125766634009778499603271484375,0.9183484010759119797739913337863981723785400390625,0.005429057083083999903083682880833293893374502658843994140625,595,36.981999999999999317878973670303821563720703125,0.03453937537357999743026226724396110512316226959228515625,3.656877286660729975409367398242466151714324951171875,0,0.1203507919904359957374850864653126336634159088134765625,0.1123356246264199942430650480673648416996002197265625
Central Business District,16,3629,409.6000000000000227373675443232059478759765625,0.0005468750000000000520417042793042128323577344417572021484375,0,0.305385742187499975575093458246556110680103302001953125,694,29.208999999999999630517777404747903347015380859375,0.07131103515624999389377336456163902767002582550048828125,8.0487737668779306687838470679707825183868408203125,0,0,0
Central Lawrenceville,13,4482,616.3200000000000500222085975110530853271484375,0.2162350726895120034409814024911611340939998626708984375,0,0.1403735072689510088306263924096128903329372406005859375,377,6.02799999999999958077978590154089033603668212890625,0.00978063343717499970864093228328783879987895488739013671875,1.344935296742530095315260041388683021068572998046875,0,0.006331126687434999837644777898049142095260322093963623046875,0.54582684319833896235962811260833404958248138427734375
Central Northside,3,2923,165.759999999999990905052982270717620849609375,0.1223274613899610063771916657060501165688037872314453125,0,0,559,0.87600000000000000088817841970012523233890533447265625,0.005284749034748999728383633822659248835407197475433349609375,0.299692097160451975668138402397744357585906982421875,0,0.02235762548262600069026717619635746814310550689697265625,0
Central Oakland,14,6086,179.840000000000003410605131648480892181396484375,0.10592193060498200640751065293443389236927032470703125,0,0,237,12.3620000000000000994759830064140260219573974609375,0.06873887900355900304472100970087922178208827972412109375,2.03121919158725017240385568584315478801727294921875,0,0.039018016014234997712595287566728075034916400909423828125,0
Chartiers City,4,477,84.4800000000000039790393202565610408782958984375,0.1557883522727269987040443766090902499854564666748046875,0,0.0251065340909089988741254018123072455637156963348388671875,46,0.192000000000000003996802888650563545525074005126953125,0.0022727272727269998316146359940148613532073795795440673828125,0.402515723270439995662428600553539581596851348876953125,0,0.1751657196969700069910658157823490910232067108154296875,0
Chateau,3,11,245.1200000000000045474735088646411895751953125,0,0,0.56708142950391604575344217664678581058979034423828125,100,1.5869999999999999662492200513952411711215972900390625,0.006474379895561000082537805866422786493785679340362548828125,144.272727272726996261553722433745861053466796875,0,0,0
Crafton Heights,4,3814,482.56000000000000227373675443232059478759765625,0.36330197281167098122267589133116416633129119873046875,0.413886356100795993473440148591180332005023956298828125,0,315,7.27700000000000013500311979441903531551361083984375,0.0150799900530499998707600894931601942516863346099853515625,1.9079706345044600279692303956835530698299407958984375,0,0.2173118368700270031101950962693081237375736236572265625,0
Crawford-Roberts,15,2256,165.1200000000000045474735088646411895751953125,0.246729651162790997176443852367810904979705810546875,0.00693435077519399985235271088868103106506168842315673828125,0,417,5.3179999999999996163069226895458996295928955078125,0.03220687984496099776077215892655658535659313201904296875,2.357269503546099986834860828821547329425811767578125,0,0.048086240310078000315119339802549802698194980621337890625,0
Duquesne Heights,6,2425,398.720000000000027284841053187847137451171875,0.415303972712680991019595921898144297301769256591796875,0.477954454253611993319594830609275959432125091552734375,0.031408005617977997891987484990750090219080448150634765625,87,91.1689999999999969304553815163671970367431640625,0.22865419341894099858336630859412252902984619140625,37.59546391752579808098744251765310764312744140625,0.1657037637941410068709302549905260093510150909423828125,0.2952347512038520083166304175392724573612213134765625,0
East Allegheny,3,2136,151.039999999999992041921359486877918243408203125,0.1111692266949149965338250467539182864129543304443359375,0,0.000072828389831000001444251401583329652567044831812381744384765625,343,0.07599999999999999811262085813723388127982616424560546875,0.000503177966101999991736792861019011979806236922740936279296875,0.03558052434456900059434047989270766265690326690673828125,0,0.02622484110169499837983408951913588680326938629150390625,0
East Carnegie,4,570,276.48000000000001818989403545856475830078125,0,0.1720847800925930093374205398504273034632205963134765625,0.04198857060185200162916174804195179603993892669677734375,11,0.4699999999999999733546474089962430298328399658203125,0.00169994212962999995293611465996264087152667343616485595703125,0.8245614035087720505856623276486061513423919677734375,0,0.1981481481481479900441655672693741507828235626220703125,0.158420138888889006079097043766523711383342742919921875
East Hills,11,3169,346.240000000000009094947017729282379150390625,0,0.25576478743068398191695678178803063929080963134765625,0,379,13.4670000000000005258016244624741375446319580078125,0.038894986136784000241295444766365108080208301544189453125,4.24960555380245974532726904726587235927581787109375,0,0.125124191312384003271773735832539387047290802001953125,0
East Liberty,12,5869,371.83999999999997498889570124447345733642578125,0.00783132530120500026937779836089248419739305973052978515625,0,0,703,18.806000000000000937916411203332245349884033203125,0.050575516351119002844693994802582892589271068572998046875,3.204293746805249920583946732222102582454681396484375,0,0.009514845094663999802708787001392920501530170440673828125,0
Elliott,4,2381,387.83999999999997498889570124447345733642578125,0.376121596534653990229202236150740645825862884521484375,0.0986824463696369946763553571145166642963886260986328125,0.0332585602310229988542999990386306308209896087646484375,179,46.7229999999999989768184605054557323455810546875,0.12046978135313500535286124204503721557557582855224609375,19.62326753464930106929386965930461883544921875,0.060109686984323000558116945057918201200664043426513671875,0.246124690594059003512228400722960941493511199951171875,0.034194513201319998163540958557859994471073150634765625
Esplen,4,301,147.19999999999998863131622783839702606201171875,0.00169836956521700007706476842628262602374888956546783447265625,0,0.28295516304347800851104466346441768109798431396484375,8,0.195000000000000006661338147750939242541790008544921875,0.0013247282608699999240098321706682327203452587127685546875,0.64784053156146204077714401137200184166431427001953125,0,0.07923233695652200092585104584941291250288486480712890625,0
Fairywood,4,1002,620.1599999999999681676854379475116729736328125,0.06315950722394199357001554062662762589752674102783203125,0,0.1187258126934979951538906561836483888328075408935546875,6,7.36000000000000031974423109204508364200592041015625,0.01186790505675999925216945740658047725446522235870361328125,7.34530938123752008550582104362547397613525390625,0,0.246952399380804987760740232261014170944690704345703125,0
Fineview,3,1285,160,0.91959999999999997299937604111619293689727783203125,0.11393124999999999780175841124219004996120929718017578125,0,54,4.8910000000000000142108547152020037174224853515625,0.030568749999999998701039061188566847704350948333740234375,3.80622568093385016396723585785366594791412353515625,0,0.1975000000000000088817841970012523233890533447265625,0
Friendship,12,1785,67.840000000000003410605131648480892181396484375,0,0,0,246,0,0,0,0,0,0
Garfield,12,3675,292.48000000000001818989403545856475830078125,0.024278583150985001692934162065284908749163150787353515625,0.194139770240700004766409847434260882437229156494140625,0,335,8.605000000000000426325641456060111522674560546875,0.029420815098468000581277692617732100188732147216796875,2.34149659863946002502643750631250441074371337890625,0,0.08961638402625800303713532457550172694027423858642578125,0
Glen Hazel,9,716,291.83999999999997498889570124447345733642578125,0.58799684758771897374884929377003572881221771240234375,0.229344846491227993823258657357655465602874755859375,0.0167454769736840002047895126224830164574086666107177734375,0,0.13000000000000000444089209850062616169452667236328125,0.00044544956140399999920675977449491256265901029109954833984375,0.1815642458100560074907292573698214255273342132568359375,0.1588808938802080128471772013654117472469806671142578125,0.64621367872807000676260713589726947247982025146484375,0.0000239857456140000002502675469084891801685444079339504241943359375
Greenfield,9,7294,494.720000000000027284841053187847137451171875,0.152544873868046992892999469404458068311214447021484375,0.1948516332470890122241513608969398774206638336181640625,0.0022699708926260000856067744479105385835282504558563232421875,540,9.592999999999999971578290569595992565155029296875,0.019390766494178000856063448509303270839154720306396484375,1.315190567589799908176928511238656938076019287109375,0.001122113720892999912115417515678927884437143802642822265625,0.04262006791720600318296163777631591074168682098388671875,0.0031917043984479999234327163293301055091433227062225341796875
Hays,8,362,1120,0.469116964285713977655944972866564057767391204833984375,0.4694616071428570069912211693008430302143096923828125,0.06544910714285699648851135634686215780675411224365234375,4,1.2629999999999999005240169935859739780426025390625,0.0011276785714290000518789103267636164673604071140289306640625,3.488950276243090176109262756654061377048492431640625,0,0.71727321428571400030449467521975748240947723388671875,0
Hazelwood,9,4317,1013.1200000000000045474735088646411895751953125,0.264446462413140015446089137185481376945972442626953125,0.200193461781427994861104480150970630347728729248046875,0.0243140003158559998841514726564128068275749683380126953125,491,24.47200000000000130739863379858434200286865234375,0.02415508528111200148291715095183462835848331451416015625,5.66875144776464967577567222178913652896881103515625,0.085051786264214002120098712111939676105976104736328125,0.1447242182564749957141003733340767212212085723876953125,0.1625523136449779915135849250873434357345104217529296875
Highland Park,12,6395,744.3200000000000500222085975110530853271484375,0.1642908963886499928985784890755894593894481658935546875,0,0.0031747098022359998038821604637860218645073473453521728515625,1012,350.73200000000002773958840407431125640869140625,0.47121130696474600174639135730103589594364166259765625,54.8447224394057997187701403163373470306396484375,0,0.168638488822011989309856971885892562568187713623046875,0
Homewood North,11,3280,277.759999999999990905052982270717620849609375,0,0.0227174539170509996732771895722180488519370555877685546875,0,316,6.83199999999999985078602549037896096706390380859375,0.0245967741935479988768520343001000583171844482421875,2.0829268292682900920453903381712734699249267578125,0,0.05609158986175100114479619151097722351551055908203125,0
Homewood South,11,2344,254.719999999999998863131622783839702606201171875,0,0,0,266,2.919000000000000039079850466805510222911834716796875,0.0114596419597990002714471557965225656516849994659423828125,1.245307167235500056534647228545509278774261474609375,0,0,0
Homewood West,11,818,127.3599999999999994315658113919198513031005859375,0.0403580402010050021122111729710013605654239654541015625,0,0,64,0.75800000000000000710542735760100185871124267578125,0.005951633165829000281232818991838939837180078029632568359375,0.926650366748166032238032130408100783824920654296875,0,0.055716080402010002836643565160557045601308345794677734375,0
Knoxville,6,3747,193.280000000000001136868377216160297393798828125,0.00120033112582799993996174325872061672271229326725006103515625,0.99902214403973499390332335678976960480213165283203125,0,464,0.050999999999999996724842077355788205750286579132080078125,0.000263865894039999973087751161671121735707856714725494384765625,0.013610888710969000492401193014302407391369342803955078125,0,0.0047599337748339999587532389568877988494932651519775390625,0
Larimer,12,1728,284.80000000000001136868377216160297393798828125,0.1002212078651689985964168272403185255825519561767578125,0,0,187,6.368999999999999772626324556767940521240234375,0.022363061797752999126931428008902003057301044464111328125,3.68576388888889017181327290018089115619659423828125,0,0.04276334269662900033903696339621092192828655242919921875,0
Lincoln Place,8,3227,629.759999999999990905052982270717620849609375,0.055594194613821000527931204260312370024621486663818359375,0.91844353404471601454162055233609862625598907470703125,0.0013989456300809999245160497594042681157588958740234375,263,23.368999999999999772626324556767940521240234375,0.037107787093495998853587281018917565234005451202392578125,7.24171056709017957331298021017573773860931396484375,0.0641297494283540048254366183755337260663509368896484375,0.264294334349593984523352219184744171798229217529296875,0
Lincoln-Lemington-Belmar,11,4883,1159.680000000000063664629124104976654052734375,0.20814190121412801115496904458268545567989349365234375,0.037755242825607000789478462365877931006252765655517578125,0.00885589128035300064689661070360671146772801876068115234375,303,24.0450000000000017053025658242404460906982421875,0.0207341680463580015081337393212379538454115390777587890625,4.924226909686669984012041823007166385650634765625,0,0.26464455711920498170997007036930881440639495849609375,0.026154628863135000182982281557997339405119419097900390625
Lower Lawrenceville,13,2341,275.19999999999998863131622783839702606201171875,0.0474491279069770011123097219751798547804355621337890625,0,0.298688226744185991723412598730647005140781402587890625,316,13.2349999999999994315658113919198513031005859375,0.048092296511627996569160359285888262093067169189453125,5.6535668517727497572877837228588759899139404296875,0,0.032805232558140003107371995838548173196613788604736328125,0
Manchester,3,2130,178.56000000000000227373675443232059478759765625,0,0,0.000571236559139999956584421436645016001421026885509490966796875,610,7.04900000000000037658764995285309851169586181640625,0.03947692652329799767318974090812844224274158477783203125,3.30938967136150008485628859489224851131439208984375,0,0,0
Marshall-Shadeland,2,6043,802.6000000000000227373675443232059478759765625,0.275863443807625008385997489313012920320034027099609375,0,0.33064914029404401940581692542764358222484588623046875,296,6.57599999999999962341235004714690148830413818359375,0.00819337154248699940650713102741065085865557193756103515625,1.088201224557340029974739081808365881443023681640625,0,0.0776401694492900029676007989110075868666172027587890625,0.10827186643408899524576582962254178710281848907470703125
Middle Hill,15,1707,195.19999999999998863131622783839702606201171875,0.0003483606557380000104569284236077919558738358318805694580078125,0.445773565573770014225374325178563594818115234375,0,221,1.661000000000000031974423109204508364200592041015625,0.0085092213114749994107288699751734384335577487945556640625,0.9730521382542469677190410948242060840129852294921875,0,0.015122950819672000000171152578332112170755863189697265625,0
Morningside,12,3346,244.479999999999989768184605054557323455810546875,0.260225785340313986448990135613712482154369354248046875,0,0.01422611256544500067666714215874890214763581752777099609375,263,22.0390000000000014779288903810083866119384765625,0.0901464332460729933504950395217747427523136138916015625,6.5866706515242103847640464664436876773834228515625,0.01044813481675400078374504886369322775863111019134521484375,0.0822439463350780053385591372716589830815792083740234375,0
Mount Washington,6,8799,729.6000000000000227373675443232059478759765625,0.238142817982456012071423856468754820525646209716796875,0.62389802631579005520734426681883633136749267578125,0.016222587719297999753198524786057532764971256256103515625,724,111.4369999999999976125764078460633754730224609375,0.152737116228070013423945283648208715021610260009765625,12.66473462893510060212065582163631916046142578125,0.0036276117598679998889343867318757475004531443119049072265625,0.13297971491228099960579811522620730102062225341796875,0
Mt. Oliver,7,509,64,0.092296875000000000444089209850062616169452667236328125,0.94706250000000002930988785010413266718387603759765625,0,7,17.7229999999999989768184605054557323455810546875,0.2769218749999999840127884453977458178997039794921875,34.81925343811389694792524096556007862091064453125,0,0.114875000000000004884981308350688777863979339599609375,0
New Homestead,8,990,508.16000000000002501110429875552654266357421875,0.308625236146095993650106947825406678020954132080078125,0.58921993073047895794758233023458160459995269775390625,0,215,2.11399999999999987920773492078296840190887451171875,0.004160107052896999842162006899570769746787846088409423828125,2.135353535353539999874783461564220488071441650390625,0,0.61988940491183897041338468625326640903949737548828125,0
North Oakland,14,10551,319.3600000000000136424205265939235687255859375,0.179333667334668989123969140564440749585628509521484375,0.07334043086172299663605400610322249121963977813720703125,0,635,14.5540000000000002700062395888380706310272216796875,0.0455723947895790015838457520658266730606555938720703125,1.379395317979339896652390962117351591587066650390625,0,0.0211673346693390003470103266636215266771614551544189453125,0
North Shore,16,303,193.919999999999987494447850622236728668212890625,0,0,0.8195853960396040083224988848087377846240997314453125,400,10.730000000000000426325641456060111522674560546875,0.05533209570957099698862435843693674542009830474853515625,35.4125412541254007692259619943797588348388671875,0,0,0
Northview Heights,1,1214,200.31999999999999317878973670303821563720703125,0.37996705271565500705577278495184145867824554443359375,0.09664037539936100318360701066922047175467014312744140625,0,7,0,0,0,0.000005785393371000000322626651005908371416808222420513629913330078125,0.28815395367412099947301840074942447245121002197265625,0
Oakwood,4,1027,161.280000000000001136868377216160297393798828125,0,0.465699404761905022542833876286749728024005889892578125,0,101,4.88300000000000000710542735760100185871124267578125,0.03027653769841300024356911535505787469446659088134765625,4.7546251217137296407599933445453643798828125,0,0.33812003968254000785265134254586882889270782470703125,0
Overbrook,5,3644,536.9600000000000363797880709171295166015625,0,0.7751750595947559663301262844470329582691192626953125,0.039349299761620999682509847161782090552151203155517578125,270,17.193999999999999062083588796667754650115966796875,0.03202100715137100317431162466164096258580684661865234375,4.71844127332601015467616889509372413158416748046875,0,0.1828013259833130010889590266742743551731109619140625,0
Perry North,2,4050,775.6799999999999499777914024889469146728515625,0.5898617986798679879711926332674920558929443359375,0.03322633044554500203471292252288549207150936126708984375,0,402,258.63600000000002410160959698259830474853515625,0.333431311881188019441424330580048263072967529296875,63.86074074074080186846913420595228672027587890625,0,0.375705187706270982150869031102047301828861236572265625,0.0000038675742570000001450090942878290434236987493932247161865234375
Perry South,2,4145,579.200000000000045474735088646411895751953125,0.318824240331491981503830857036518864333629608154296875,0.05541781767955800130920351875829510390758514404296875,0,303,12.9839999999999999857891452847979962825775146484375,0.0224171270718230009055815799001720733940601348876953125,3.132448733413749852871887924266047775745391845703125,0.022191643646408999723806942938608699478209018707275390625,0.1365625000000000033306690738754696212708950042724609375,0.13469613259668500315768824293627403676509857177734375
Point Breeze,10,5315,642.55999999999994543031789362430572509765625,0.0380680403386449983660355655956664122641086578369140625,0,0,1092,54.78399999999999891997504164464771747589111328125,0.08525896414342599982649772982767899520695209503173828125,10.3074317968015005675397333106957376003265380859375,0,0.076187437749003994458263377964613027870655059814453125,0.27411136703187299890061012774822302162647247314453125
Point Breeze North,11,2054,183.039999999999992041921359486877918243408203125,0,0,0,442,12.028999999999999914734871708787977695465087890625,0.0657178758741260027331776427672593854367733001708984375,5.8563777994157799611230075242929160594940185546875,0,0,0
Polish Hill,13,1274,163.19999999999998863131622783839702606201171875,0.75,0.00082720588235300003716876648951483730343170464038848876953125,0.0037990196078430001590253706211797180003486573696136474609375,156,24.53399999999999891997504164464771747589111328125,0.1503308823529410087616042801528237760066986083984375,19.257456828885398891770819318480789661407470703125,0,0.0947181372549019962026051189241115935146808624267578125,0
Regent Square,10,928,122.8799999999999954525264911353588104248046875,0.328206380208332981762708868700428865849971771240234375,0,0.0265299479166670008900563715315001900307834148406982421875,240,63.45900000000000318323145620524883270263671875,0.5164306640625000444089209850062616169452667236328125,68.3825431034482988934541936032474040985107421875,0,0.333203124999999988897769753748434595763683319091796875,0
Ridgemont,4,483,236.159999999999996589394868351519107818603515625,0.29687923441734398455338350686361081898212432861328125,0.7061356707317070213747456364217214286327362060546875,0,63,0,0,0,0,0.38567920054200499624386111463536508381366729736328125,0
Shadyside,12,13915,589.44000000000005456968210637569427490234375,0.01090017643865399954439254770477418787777423858642578125,0,0,1601,17.05499999999999971578290569595992565155029296875,0.0289342426710099999420666705418625497259199619293212890625,1.2256557671577399393214591327705420553684234619140625,0,0,0
Sheraden,4,5299,569.6000000000000227373675443232059478759765625,0.381666081460673989322884835928562097251415252685546875,0,0.0011288623595510000920116855382957510300911962985992431640625,365,59.97999999999999687361196265555918216705322265625,0.10530196629213499359689620860081049613654613494873046875,11.3191168144933005379471069318242371082305908203125,0,0.1714290730337079959877399915058049373328685760498046875,0
South Oakland,14,2969,325.1200000000000045474735088646411895751953125,0.231542199803149995052109488824498839676380157470703125,0,0.09764702263779499735729672238448983989655971527099609375,180,5.37399999999999966604491419275291264057159423828125,0.0165292814960629995402197067733141011558473110198974609375,1.81003704951162003311537773697637021541595458984375,0,0.06667384350393699976589090283596306107938289642333984375,0
South Shore,16,19,135.68000000000000682121026329696178436279296875,0.0761129127358489976362676543431007303297519683837890625,0,0.52375442216981105136852647774503566324710845947265625,12,3.7629999999999999005240169935859739780426025390625,0.027734374999999998612221219218554324470460414886474609375,198.05263157894700043470948003232479095458984375,0,0.0138266509433959995656326924517998122610151767730712890625,0
South Side Flats,7,6597,599.0399999999999636202119290828704833984375,0.00041566506410299999298152417992469054297544062137603759765625,0,0.213468215811966011141720400701160542666912078857421875,1337,20.96600000000000108002495835535228252410888671875,0.034999332264957001836780392522996407933533191680908203125,3.17811126269516019959837649366818368434906005859375,0,0.0015458066239320000789803088991902768611907958984375,0
South Side Slopes,7,4423,458.240000000000009094947017729282379150390625,0.66359549581005594642846290298621170222759246826171875,0.397680254888268025492692459010868333280086517333984375,0,246,63.59100000000000108002495835535228252410888671875,0.13877225907821200134861783226369880139827728271484375,14.377345692968599877303859102539718151092529296875,0,0.12233763966480400153802321483453852124512195587158203125,0.04094361033519600123753434672835282981395721435546875
Spring Garden,1,884,176,0.54285227272727298863941314266412518918514251708984375,0,0.002153409090909000171698561842958952183835208415985107421875,48,14.19800000000000039790393202565610408782958984375,0.08067045454545500315912676114749046973884105682373046875,16.061085972850701608649615081958472728729248046875,0.09769283522727299773347198197370744310319423675537109375,0.366250000000000019984014443252817727625370025634765625,0
Spring Hill-City View,1,2648,403.19999999999998863131622783839702606201171875,0.57222966269841302189291809554561041295528411865234375,0.1578621031746030023423799093507113866508007049560546875,0,115,19.98100000000000164845914696343243122100830078125,0.0495560515873020024368855729335336945950984954833984375,7.545694864048339667306208866648375988006591796875,0.09134326934523799568221846811866271309554576873779296875,0.261961805555555982127913239310146309435367584228515625,0.027043650793651001495998542623055982403457164764404296875
Squirrel Hill North,10,11363,782.0800000000000409272615797817707061767578125,0.004232303600655000323793597516441877814941108226776123046875,0.048524447626841001046660295514811878092586994171142578125,0,1846,26.243999999999999772626324556767940521240234375,0.033556669394435002795606948211570852436125278472900390625,2.30960133767491004874727877904660999774932861328125,0,0.020605308919803999589959175864350982010364532470703125,0.0214901288870700014899117746836054720915853977203369140625
Squirrel Hill South,10,15110,1709.44000000000005456968210637569427490234375,0.2192010248970419905578665975554031319916248321533203125,0.087825252714338997162002442564698867499828338623046875,0.01339385997753599934212420663470766157843172550201416015625,2263,684.5829999999999699866748414933681488037109375,0.40047208442530901617573135808925144374370574951171875,45.30661813368629964315914548933506011962890625,0,0.289307024522651001774420365109108388423919677734375,0
St. Clair,7,209,198.400000000000005684341886080801486968994140625,0.47087701612903198888915312636527232825756072998046875,0.61867439516128996945809603857924230396747589111328125,0.00112903225806500000748255896354521610192023217678070068359375,85,0,0,0,0,0.493296370967741981683474250530707649886608123779296875,0
Stanton Heights,13,4601,470.3999999999999772626324556767940521240234375,0.1796747448979590100481829040290904231369495391845703125,0.1546279761904759963986322190976352430880069732666015625,0,730,13.9290000000000002700062395888380706310272216796875,0.0296109693877549991214426228225420345552265644073486328125,3.027385351010650094139009524951688945293426513671875,0.06800807823129199902734143279303680174052715301513671875,0.2036437074829930138353262236705631949007511138916015625,0.00001913265306100000136334086942024867994405212812125682830810546875
Strip District,13,616,389.1200000000000045474735088646411895751953125,0.109380139802632003753757317099370993673801422119140625,0,0.542210629111842035143808971042744815349578857421875,173,6.55199999999999960209606797434389591217041015625,0.016837993421053000508980090899058268405497074127197265625,10.6363636363635993831167070311494171619415283203125,0,0.0310803865131580002445499388841199106536805629730224609375,0
Summer Hill,1,1051,280.95999999999997953636921010911464691162109375,0.52814279612756298565301449343678541481494903564453125,0.02654470387243700046919769874875782988965511322021484375,0,137,0,0,0,0,0.187510677676538006775075473342440091073513031005859375,0
Swisshelm Park,10,1361,307.19999999999998863131622783839702606201171875,0.47290690104166699381238458954612724483013153076171875,0,0.04762044270833300230183482426582486368715763092041015625,109,36.5450000000000017053025658242404460906982421875,0.118961588541666996032830638796440325677394866943359375,26.851579720793498751163497217930853366851806640625,0,0.3118815104166670071350608850480057299137115478515625,0
Terrace Village,15,3228,218.8799999999999954525264911353588104248046875,0.1471308479532159874114682907020323909819126129150390625,0.44923245614035101080929734962410293519496917724609375,0,264,15.9429999999999996163069226895458996295928955078125,0.07283899853801199808511768196694902144372463226318359375,4.9389714993804201270677367574535310268402099609375,0,0.08330135233918099790795253056785441003739833831787109375,0
